Call ID,E-bill Pre-enrollment Part 1,E-bill Pre-enrollment Part 2,E-bill Pre-enrollment Part 3,E-Bill TEMP T&C1,E-Billing T&C 1,E-Billing T&C 2,MOVE - Move In
6426758125781592213,1,1,1,1,,1,1
6426758155905079725,1,1,1,1,,1,1
6426758452199107178,,,,1,1,1,1
6426758452199107180,1,1,,,,,1
6426758520918584026,1,1,1,,,,1
6426758980471686031,,,,,,,1
6426759852358448055,1,1,1,,,,1
6426760135826290167,1,1,1,,,,1
6426760256085374656,1,1,1,,,,1
6426760457948837932,,,,,,,1
6426760672697203149,,,,,,,1
6426760676992170454,1,1,1,,,,1
6426760934681808381,,,,,,,1
6426761037761023698,,,,1,,1,1
6426761093595598648,,,,,,,1
6426761274051339534,1,1,1,1,1,1,1
6426761299762429476,1,1,1,,,,1
6426761617648723444,1,1,,,,,1
6426761862394745728,1,1,1,,,,1
6426762055676658371,1,1,1,,,,1
6426762300489794637,1,1,1,,,,1
6426762682800613703,1,,,,,,1
6426762996274497868,1,1,1,1,,1,1
6426763485959498639,1,1,1,,,,1
6426763855267958441,1,1,1,,,,1
6426763997060607298,1,1,1,1,1,1,1
6426764667016778813,1,1,1,1,1,1,1
6426764684196648033,1,1,1,1,,1,1
6426764946248380437,1,1,1,,,,1
6426765182412855187,1,1,1,,,,1
6426765212536353019,1,1,1,,,,1
6426765470167279481,1,1,1,1,1,1,1
6426765620499520066,1,1,1,,,,1
6426765736463637255,1,1,1,1,,1,1
6426765886846219035,1,1,1,1,,1,1
6426765998456642838,1,1,1,,,,1
6426766410832229530,1,1,1,,,,1
6426766629816836392,1,1,1,1,,1,1
6426767218227356898,1,1,1,,,,1
6426767368609937296,1,1,1,1,,1,1
6426767394379741088,1,1,1,,,,1
6426767742204982287,,,,,,,1
6426767939773478166,,,,,,,1
6426768158825196142,1,1,1,1,,1,1
6426768197471516246,1,1,1,,,,1
6426768377868528678,1,1,1,1,,1,1
6426769060759944006,1,1,1,,,,1
6426769541863390771,1,,,,,,1
6426770254769239816,1,1,,1,,1,1
6426770417969594761,1,1,1,1,,1,1
6426770602653188717,,,,,,,1
6426771384404345824,1,1,1,,,,1
6426771603447678103,1,,,1,1,1,
6426773673563196251,1,1,1,,1,,1
6426773969974659974,1,1,1,,,,1
6426775623478351511,1,1,1,,,,1
6426779901265783759,1,1,1,1,1,1,1
6426780120300726344,1,1,1,1,,1,1
6426780158963821877,,,,,,,1
6426780369417219640,1,1,,,,,1
6426781645081223644,1,1,1,,,,1
6426783156850997715,,,,,,,1
6426783414549035838,,,,,,,1
6426783633583977713,,1,1,,,,1
6426783685190690580,1,1,1,,,,1
6426784063089098223,1,1,1,1,,1,1
6426786305120742680,1,1,1,,,,1
6426788727423568935,1,1,1,1,1,1,1
6426788963646770364,1,1,1,,,,1
6426789199869971830,,,,,,,1
6426790501236673115,,,,,,,1
6426790509826607715,1,1,1,,,,1
6426791166956604445,1,1,1,,,,1
6426792176282310127,1,1,1,,,,1
6426792378145773250,1,1,1,,,,1
6426792459741761451,1,1,1,,,,1
6426793606498030383,,,,,,,1
6426793962980316166,1,,,,,,1
6426794061831682898,1,1,1,,,,1
6426795912962587939,,,,,,,1
6426812959687771011,,,,,,,1
6427010326319931906,1,1,1,,,,1
6427011704945708835,,,,,,,1
6427011945522603665,1,1,1,,,,1
6427013006312413050,1,1,1,,,,1
6427013160931235885,1,1,,,,,1
6427013328443349040,1,1,1,,,,1
6427014513854324184,1,1,1,,,,1
6427014762962427775,1,1,,1,1,1,1
6427015329898111678,1,,,,,,1
6427016055747585668,1,1,1,1,,1,1
6427016468064446645,,,,1,1,1,1
6427016605503400331,1,1,1,,,,1
6427016618447024990,1,1,1,,,,1
6427016811720553412,1,,1,,,,1
6427017022115228268,1,1,1,,,,1
6427017026410195675,,,,,,,1
6427017520331435857,1,1,1,1,,,1
6427017533216337786,,,,,,,1
